Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Elizabeth,1.0,"Cute course

Cute course, was presented well and funny. Definitely wasn’t bored! Would recommend to anyone needing to take the course OR take to get a discount on your insurance.",US,1,2022-07-28T05:49:19Z,"Comedy Driving, Inc."
Janet,0.8,"I thought the course was informative…

I thought the course was informative and made less boring by adding humor to the necessary 6hrs needed. My only gripe is having to push next every page.",US,1,2022-07-28T02:38:10Z,"Comedy Driving, Inc."
Donna,1.0,"Great class!!!

I recommend this class to everyone! Kept my attention and I enjoyed it. Great class best one I’ve ever done!!",US,1,2022-07-28T01:28:39Z,"Comedy Driving, Inc."
Katherine,1.0,Kept me awake,US,1,2022-07-27T19:50:04Z,"Comedy Driving, Inc."
Holly,1.0,"Loved your program!

Loved your program! And customer service was great too!",US,1,2022-07-27T18:46:14Z,"Comedy Driving, Inc."
Manrique,1.0,"Awesome course!!!

This was a awesome course. Easy to comprehend. If I have to take defensive driving again, I will take this course again.",US,1,2022-07-27T14:11:41Z,"Comedy Driving, Inc."
Aleemah,1.0,Great course,US,1,2022-07-27T12:16:53Z,"Comedy Driving, Inc."
Omar,1.0,"easy to follow take a break stop pick…

easy to follow take a break stop pick it up later.",US,1,2022-07-26T22:44:45Z,"Comedy Driving, Inc."
Anne,1.0,"Class was informative

Class was informative, not real humorous, but I learned a lot.

Graphics were great!",US,1,2022-07-26T22:17:33Z,"Comedy Driving, Inc."
NNW,0.8,"Informative and entertaining

Overall it was good. I had a few issues with parts of the videos not playing completely. It may or may not have been my internet connection. The site said I could switch to a different device easily but I don't think it worked well for me. I wound up repeating lessons trying to use my phone and my pc. I preferred the shorter lessons. It was easier to retain the information. It was a bit frustrating to have to wait on the lesson and stick to a required amount of time for it to end, even though the instructions told me to click 'next'.",US,1,2022-07-26T14:49:35Z,"Comedy Driving, Inc."
Lonnie,1.0,"Safe Driving

Great class!!
Like the ability to stop and resume",US,1,2022-07-26T06:26:54Z,"Comedy Driving, Inc."
Kenneth,1.0,"Staying Safe While Driving

Comedy Driving offers entertaining snippets in between the learning segments. The course has changed over the years but still covers all of the important points. There is always something to learn, even for old timers. The videos are very good. Th course is never boring.",US,1,2022-07-26T05:20:28Z,"Comedy Driving, Inc."
Theresa,1.0,Very great!:),US,1,2022-07-26T03:03:48Z,"Comedy Driving, Inc."
JTA318,1.0,"Worth it !

Easy and funny course!
I highly recommend to anyone.",US,2,2022-07-26T02:54:41Z,"Comedy Driving, Inc."
Sid,1.0,"driving course that keeps it easy to…

driving course that keeps it easy to take and engaged",US,1,2022-07-25T22:19:29Z,"Comedy Driving, Inc."
Maryam,1.0,Easy and fast.,US,1,2022-07-25T21:12:11Z,"Comedy Driving, Inc."
Chloe,1.0,very entertaining,US,1,2022-07-25T20:43:24Z,"Comedy Driving, Inc."
Ted Smith,1.0,Very easy to do.,US,2,2022-07-25T18:48:54Z,"Comedy Driving, Inc."
Gloria,1.0,"Informative and Engaging

The sight was easy to access. The course was informative and engaging.",US,1,2022-07-25T05:58:49Z,"Comedy Driving, Inc."
Crystal,1.0,"Great way to do the defensive driving

Great way to do the defensive driving. No gliches, easy to understand and follow along, you are given questions to answers, keeps you engage the whole course!",US,1,2022-07-25T04:55:53Z,"Comedy Driving, Inc."
