Index,Compagny,Typo,Nb_reviews,Rating,Website,review_link,SubCategory
103,Shift,Car Dealer,3760,4.3,https://www.shift.com,https://www.trustpilot.com/review/shift.com,Car Accessories Store 
104,US Coachways,Car Accessories Store,2215,4.3,https://www.www.uscoachways.com,https://www.trustpilot.com/review/www.uscoachways.com,Car Accessories Store 
105,"Flagship One, Inc.",Auto Parts Store,2146,4.3,https://www.fs1inc.com,https://www.trustpilot.com/review/fs1inc.com,Car Accessories Store 
106,uShip,Car Accessories Store,10958,4.2,https://www.www.uship.com,https://www.trustpilot.com/review/www.uship.com,Car Accessories Store 
107,Auto Europe US,Car Rental Agency,6760,4.2,https://www.autoeurope.com,https://www.trustpilot.com/review/autoeurope.com,Car Accessories Store 
108,CarParts.com,Auto Parts Store,5581,4.2,https://www.www.carparts.com,https://www.trustpilot.com/review/www.carparts.com,Car Accessories Store 
109,Canopy Airport Parking,Valet Parking Service,22395,4.1,https://www.www.canopyairportparking.com,https://www.trustpilot.com/review/www.canopyairportparking.com,Car Accessories Store 
110,DriveTime,Car Dealer,21033,4.1,https://www.www.drivetime.com,https://www.trustpilot.com/review/www.drivetime.com,Car Accessories Store 
111,Daily Direct HAULBIKES,Motorcycle Dealer,13819,4.1,https://www.haulbikes.com,https://www.trustpilot.com/review/haulbikes.com,Car Accessories Store 
112,etrailer,Car Accessories Store,4108,4.1,https://www.etrailer.com,https://www.trustpilot.com/review/etrailer.com,Car Accessories Store 
113,Parts Geek,Auto Parts Store,156166,4.0,https://www.www.partsgeek.com,https://www.trustpilot.com/review/www.partsgeek.com,Car Accessories Store 
114,CarTrawler,Car Rental Agency,57727,4.0,https://www.www.cartrawler.com,https://www.trustpilot.com/review/www.cartrawler.com,Car Accessories Store 
115,RentingCarz.com,Car Rental Agency,10018,4.0,https://www.rentingcarz.com,https://www.trustpilot.com/review/rentingcarz.com,Car Accessories Store 
116,Car Registration,Car Accessories Store,2908,3.9,https://www.carregistration.com,https://www.trustpilot.com/review/carregistration.com,Car Accessories Store 
117,Go Buses,Car Accessories Store,7415,3.6,https://www.gobuses.com,https://www.trustpilot.com/review/gobuses.com,Car Accessories Store 
118,Airport Van Rental,Car Rental Agency,16369,3.5,https://www.airportvanrental.com,https://www.trustpilot.com/review/airportvanrental.com,Car Accessories Store 
119,Martz Group,Car Accessories Store,2306,3.5,https://www.martzgroup.com,https://www.trustpilot.com/review/martzgroup.com,Car Accessories Store 
120,Bikebandit,Motorcycle Shop,2851,3.4,https://www.www.bikebandit.com,https://www.trustpilot.com/review/www.bikebandit.com,Car Accessories Store 
121,MyUS.com,Courier Service,7599,3.2,https://www.myus2.myus.com,https://www.trustpilot.com/review/myus2.myus.com,Car Accessories Store 
122,ECS Tuning LLC.,Car Accessories Store,3849,3.2,https://www.www.ecstuning.com,https://www.trustpilot.com/review/www.ecstuning.com,Car Accessories Store 
123,CarHop Auto Sales & Finance,Car Dealer,3041,3.2,https://www.www.carhop.com,https://www.trustpilot.com/review/www.carhop.com,Car Accessories Store 
